   15.00    10.00     5.00     0.00  -160.00
   15.00    10.00     5.00     0.00   160.00
   15.00    10.00     5.00    90.00  -160.00
   15.00    10.00     5.00    90.00   160.00
   15.00    10.00    30.00     0.00  -160.00
   15.00    10.00    30.00     0.00   160.00
   15.00    10.00    30.00    90.00  -160.00
   15.00    10.00    30.00    90.00   160.00
   15.00   180.00     5.00     0.00  -160.00
   15.00   180.00     5.00     0.00   160.00
   15.00   180.00     5.00    90.00  -160.00
   15.00   180.00     5.00    90.00   160.00
   15.00   180.00    30.00     0.00  -160.00
   15.00   180.00    30.00     0.00   160.00
   15.00   180.00    30.00    90.00  -160.00
   15.00   180.00    30.00    90.00   160.00
   95.00    10.00     5.00     0.00  -160.00
   95.00    10.00     5.00     0.00   160.00
   95.00    10.00     5.00    90.00  -160.00
   95.00    10.00     5.00    90.00   160.00
   95.00    10.00    30.00     0.00  -160.00
   95.00    10.00    30.00     0.00   160.00
   95.00    10.00    30.00    90.00  -160.00
   95.00    10.00    30.00    90.00   160.00
   95.00   180.00     5.00     0.00  -160.00
   95.00   180.00     5.00     0.00   160.00
   95.00   180.00     5.00    90.00  -160.00
   95.00   180.00     5.00    90.00   160.00
   95.00   180.00    30.00     0.00  -160.00
   95.00   180.00    30.00     0.00   160.00
   95.00   180.00    30.00    90.00  -160.00
   95.00   180.00    30.00    90.00   160.00
   55.00    10.00     5.00     0.00   -80.00
   55.00    10.00     5.00     0.00    80.00
   55.00    10.00     5.00    90.00   -80.00
   55.00    10.00     5.00    90.00    80.00
   55.00    10.00    30.00     0.00   -80.00
   55.00    10.00    30.00     0.00    80.00
   55.00    10.00    30.00    90.00   -80.00
   55.00    10.00    30.00    90.00    80.00
   55.00   180.00     5.00     0.00   -80.00
   55.00   180.00     5.00     0.00    80.00
   55.00   180.00     5.00    90.00   -80.00
   55.00   180.00     5.00    90.00    80.00
   55.00   180.00    30.00     0.00   -80.00
   55.00   180.00    30.00     0.00    80.00
   55.00   180.00    30.00    90.00   -80.00
   55.00   180.00    30.00    90.00    80.00
   15.00    80.00     5.00     0.00   -80.00
   15.00    80.00     5.00     0.00    80.00
   15.00    80.00     5.00    90.00   -80.00
   15.00    80.00     5.00    90.00    80.00
   15.00    80.00    30.00     0.00   -80.00
   15.00    80.00    30.00     0.00    80.00
   15.00    80.00    30.00    90.00   -80.00
   15.00    80.00    30.00    90.00    80.00
   95.00    80.00     5.00     0.00   -80.00
   95.00    80.00     5.00     0.00    80.00
   95.00    80.00     5.00    90.00   -80.00
   95.00    80.00     5.00    90.00    80.00
   95.00    80.00    30.00     0.00   -80.00
   95.00    80.00    30.00     0.00    80.00
